"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60594059406E+009, -3.01126348666E-002, -4.00391066131E-002
+4.60596059606E+009, -3.05413532511E-002, -3.97552138390E-002
+4.60598059806E+009, -3.07583494692E-002, -3.96571659389E-002
+4.60600060006E+009, -3.09381842310E-002, -3.93935789772E-002
+4.60602060206E+009, -3.12721151515E-002, -3.91952319027E-002
+4.60604060406E+009, -3.15982617146E-002, -3.88862294212E-002
+4.60606060606E+009, -3.18746090384E-002, -3.87085672558E-002
+4.60608060806E+009, -3.22276887169E-002, -3.84315494215E-002
+4.60610061006E+009, -3.24173105168E-002, -3.83176346162E-002
+4.60612061206E+009, -3.27205344193E-002, -3.79727939542E-002
+4.60614061406E+009, -3.30120348082E-002, -3.77557098585E-002
+4.60616061606E+009, -3.32695157993E-002, -3.75103154158E-002
+4.60618061806E+009, -3.35832932891E-002, -3.73122226612E-002
+4.60620062006E+009, -3.37772687948E-002, -3.70741537682E-002
+4.60622062206E+009, -3.41591151862E-002, -3.67320479628E-002
+4.60624062406E+009, -3.43133795665E-002, -3.65600803048E-002
+4.60626062606E+009, -3.45935973684E-002, -3.63201527369E-002
+4.60628062806E+009, -3.48986042682E-002, -3.61166038178E-002
+4.60630063006E+009, -3.51309510772E-002, -3.58115987060E-002
+4.60632063206E+009, -3.53874892042E-002, -3.55247837092E-002
+4.60634063406E+009, -3.56249206230E-002, -3.52347486741E-002
+4.60636063606E+009, -3.59868349163E-002, -3.50459578140E-002
+4.60638063806E+009, -3.61477715095E-002, -3.48218415846E-002
+4.60640064006E+009, -3.63814524707E-002, -3.44963987576E-002
+4.60642064206E+009, -3.66521021836E-002, -3.42651685044E-002
+4.60644064406E+009, -3.69640801204E-002, -3.39258421999E-002
+4.60646064606E+009, -3.71418103749E-002, -3.37091656017E-002
+4.60648064806E+009, -3.73805589724E-002, -3.33824792668E-002
+4.60650065007E+009, -3.76098187118E-002, -3.31635247420E-002
+4.60652065207E+009, -3.78968334964E-002, -3.29209401722E-002
+4.60654065407E+009, -3.80809664436E-002, -3.26700709369E-002
+4.60656065607E+009, -3.83605244522E-002, -3.23302727309E-002
+4.60658065807E+009, -3.85842675579E-002, -3.21219439682E-002
+4.60660066007E+009, -3.87547254166E-002, -3.17917183556E-002
+4.60662066207E+009, -3.90575615011E-002, -3.15805650464E-002
+4.60664066407E+009, -3.92912058501E-002, -3.12567027114E-002
+4.60666066607E+009, -3.95367078266E-002, -3.09415483038E-002
+4.60668066807E+009, -3.96853143320E-002, -3.06673118444E-002
+4.60670067007E+009, -3.99893465516E-002, -3.03709140026E-002
+4.60672067207E+009, -4.01758776958E-002, -3.01257842614E-002
+4.60674067407E+009, -4.04333854217E-002, -2.97189605894E-002
+4.60676067607E+009, -4.06169591137E-002, -2.94586234407E-002
+4.60678067807E+009, -4.08024837450E-002, -2.92020477642E-002
+4.60680068007E+009, -4.10003832091E-002, -2.89533425330E-002
+4.60682068207E+009, -4.12623369845E-002, -2.86448321633E-002
+4.60684068407E+009, -4.13718979595E-002, -2.84011052777E-002
+4.60686068607E+009, -4.16829929372E-002, -2.79904864968E-002
+4.60688068807E+009, -4.18566395929E-002, -2.77856046854E-002
+4.60690069007E+009, -4.20752435657E-002, -2.73865181354E-002
+4.60692069207E+009, -4.22189618723E-002, -2.71159419928E-002
+4.60694069407E+009, -4.24140862869E-002, -2.68177694590E-002
+4.60696069607E+009, -4.26456001799E-002, -2.65718846785E-002
+4.60698069807E+009, -4.28209735846E-002, -2.61599528874E-002
+4.60700070007E+009, -4.30663375571E-002, -2.58919992059E-002
+4.60702070207E+009, -4.31986318112E-002, -2.56146257248E-002
+4.60704070407E+009, -4.33192668965E-002, -2.52520157542E-002
